Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2008-01-04T15:00:00Z,QQQ,44.047126206,113,4,Filled,4977.325261278, 
2008-01-11T15:05:00Z,DIA,98.637256294,-49,0,Filled,-4833.225558406,Liquidated 
2008-01-11T15:05:00Z,EEM,40.324427097533,-127,0,Filled,-5121.2022413866,Liquidated 
2008-01-11T15:05:00Z,EFA,56.099131968,-88,0,Filled,-4936.723613184,Liquidated 
2008-01-11T15:05:00Z,QQQ,43.237336032,-113,0,Filled,-4885.818971616,Liquidated 
2008-01-11T15:05:00Z,SPY,113.975733522,-42,0,Filled,-4786.980807924,Liquidated 
2008-01-25T15:05:00Z,LQD,70.479872538,-74,0,Filled,-5215.510567812,Liquidated 
2008-03-24T14:00:00Z,AGG,76.4976627,66,4,Filled,5048.8457382, 
2008-03-28T14:00:00Z,GLD,92.58,55,4,Filled,5091.9, 
2008-04-11T14:00:00Z,SPY,108.54971681,46,4,Filled,4993.28697326, 
2008-05-30T14:05:00Z,AGG,75.913065364,-66,0,Filled,-5010.262314024,Liquidated 
2008-05-30T14:05:00Z,GLD,87.29,-55,0,Filled,-4800.95,Liquidated 
